	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	USERID	TweetTime	TweetID	Tweet	(1) Very General	(2) General	(3) Specific	(4) Very specific	(5) Extremely Specific	NA	Majority	Score	Time	time_zone	weeks	hours	month	date
0	2	2	2	2	2	121295917	2017	860174326724788225	How would you answer this : 'How often do you submit poll questions ? ' <URL>	1	3	1	0	1	0	2	2.5	Thu May 04 16:48:35 +0000 2017	Central Time (US & Canada)	Thu	12	May	4
1	3	3	3	3	3	121295917	2016	703993411460665346	'I do n't know who you are . . . But I love you . ' ~ Valarie 's Letter in V for Vendetta; quoted from a depression survivor . #RIPAlex	0	3	1	0	2	0	2	3.1666666666666665	Sun Feb 28 17:21:23 +0000 2016	Central Time (US & Canada)	Sun	11	Feb	28
2	6	6	6	6	6	121340181	2014	539630218810781696	Father , I feel in my spirit a need to send a special prayer to all my Facebook friends and to all those . . . <URL>	2	1	0	3	0	0	4	2.6666666666666665	Tue Dec 02 04:00:44 +0000 2014	Central Time (US & Canada)	Mon	22	Dec	1
3	7	7	7	7	7	121340181	2014	463337717188005888	=Message of the day= =<URL> =WHAT MIRACLES . . . <URL>	3	1	1	0	1	0	1	2.1666666666666665	Mon May 05 15:21:34 +0000 2014	Central Time (US & Canada)	Mon	10	May	5
4	10	10	10	10	10	1217476284	2016	733042261332611072	My prof fucked up the exam and is only gonna grade us on the easy Qs  ☺ ️ ☺ ️ ☺ ️ ☺ ️	0	1	1	2	2	0	4	3.8333333333333335	Wed May 18 21:11:09 +0000 2016	Pacific Time (US & Canada)	Wed	14	May	18
5	11	11	11	11	11	1217476284	2017	873057204554784772	Cuanto chingo , I already know . lol	1	2	3	0	0	0	3	2.333333333333333	Fri Jun 09 06:00:32 +0000 2017	Pacific Time (US & Canada)	Thu	23	Jun	8
6	14	14	14	14	14	1220082446	2017	922929773961244672	Ya MCM a bum .  🗣 	3	2	0	0	0	1	1	1.4	Tue Oct 24 20:56:19 +0000 2017	Eastern Time (US & Canada)	Tue	16	Oct	24
7	15	15	15	15	15	1220082446	2017	922870992237678599	“DO YOU LOOK LIKE THE TYPE OF NIGGA THAT PLAY SOCCER”  😭  <URL>	2	3	1	0	0	0	2	1.8333333333333333	Tue Oct 24 17:02:45 +0000 2017	Eastern Time (US & Canada)	Tue	12	Oct	24
8	16	16	16	16	16	1222771999	2017	848345557424852992	boys are boys and girls are joys	2	2	1	0	1	0	1	2.333333333333333	Sun Apr 02 01:25:17 +0000 2017	Atlantic Time (Canada)	Sat	21	Apr	1
9	17	17	17	17	17	1222771999	2013	350841459441799169	Sometimes I hope I'm looking at the same moon as you	2	1	3	0	0	0	3	2.1666666666666665	Sat Jun 29 05:01:36 +0000 2013	Atlantic Time (Canada)	Sat	1	Jun	29
10	18	18	18	18	18	1223452975	2016	804136782266777600	<USER> the king of all Crying Jordan 's ? <URL>	2	2	1	1	0	0	1	2.1666666666666665	Thu Dec 01 01:35:23 +0000 2016	Central Time (US & Canada)	Wed	20	Nov	30
11	19	19	19	19	19	1223452975	2017	840400077978030080	The <USER> Tournament has been very entertaining . And <USER> is right in the middle of it . Great games today ! 	0	1	4	1	0	0	3	3.0	Sat Mar 11 03:12:47 +0000 2017	Central Time (US & Canada)	Fri	21	Mar	10
12	20	20	20	20	20	12021352	2016	738458798462013444	Dementia is a truly horrible disease for everyone it affects . Touching and honest perspective on <USER> #dementia	0	0	1	3	2	0	4	4.166666666666667	Thu Jun 02 19:54:32 +0000 2016	London	Thu	21	Jun	2
13	21	21	21	21	21	12021352	2017	856085643713183744	Excited to be heading down to the <USER> today to cheer on all the amazing people running for <USER>	1	1	1	1	2	0	5	3.333333333333333	Sun Apr 23 10:01:37 +0000 2017	London	Sun	11	Apr	23
14	22	22	22	22	22	1204050956	2013	344855324500566018	<USER> Oh , well it 's a pretty awesome secret . hahaha . 	6	0	0	0	0	0	1	1.0	Wed Jun 12 16:34:51 +0000 2013	Atlantic Time (Canada)	Wed	13	Jun	12
15	23	23	23	23	23	1204050956	2017	862250066144350208	<USER> Wishing Lily , you , and your family all the love , strength , and support in the world today . 	1	2	1	0	2	0	2	3.0	Wed May 10 10:16:50 +0000 2017	Atlantic Time (Canada)	Wed	6	May	10
16	24	24	24	24	24	1205002178	2017	837471090809135106	<USER> love you guys , but do n't you feel a need to address this	4	2	0	0	0	0	1	1.3333333333333333	Fri Mar 03 01:14:02 +0000 2017	Central Time (US & Canada)	Thu	19	Mar	2
17	25	25	25	25	25	1205002178	2017	836781351378513920	<USER> <USER> yep . Given 1st 30 days , hard too know of he means any of it . Tomorrow will start the test	1	5	0	0	0	0	2	1.8333333333333333	Wed Mar 01 03:33:15 +0000 2017	Central Time (US & Canada)	Tue	22	Feb	28
18	28	28	28	28	28	12056712	2016	773347990828232704	NO ! ! ! ! ! ! I SAID DONT SEND SMOAK TO THE PLATE ! ! ! ! <URL>	1	2	1	1	1	0	2	2.833333333333333	Wed Sep 07 02:31:43 +0000 2016	Eastern Time (US & Canada)	Tue	22	Sep	6
19	29	29	29	29	29	12056712	2017	934174119930793984	Dear <USER> . . . for my birthday I would love some <USER> love . That is all . Thanks you guys are the best  😍💙 	1	1	2	1	1	0	3	3.0	Fri Nov 24 21:37:20 +0000 2017	Eastern Time (US & Canada)	Fri	17	Nov	24
20	30	30	30	30	30	10797732	2011	32875048352096256	Must . Get . Out . Of . House . The sake of our sanity is at great risk . 	3	1	0	1	1	0	1	2.333333333333333	Wed Feb 02 18:56:36 +0000 2011	Eastern Time (US & Canada)	Wed	14	Feb	2
21	31	31	31	31	31	10797732	2009	5605543811	I hate feeling like this . Tempted to find a happy , floaty place to distract myself . 	3	1	0	1	1	0	1	2.333333333333333	Wed Nov 11 01:09:44 +0000 2009	Eastern Time (US & Canada)	Tue	20	Nov	10
22	36	36	36	36	36	10827952	2009	6565923809	<USER> Thanks ! I just called and left a message with the VP . Ridiculous . I know *I* will never <USER> again . 	0	1	4	0	1	0	3	3.1666666666666665	Fri Dec 11 13:13:09 +0000 2009	Central Time (US & Canada)	Fri	7	Dec	11
23	37	37	37	37	37	10827952	2008	798957308	The lack of responses to my last post makes me think that i have the only child who has ever called out for their caregiver at night	1	2	1	0	2	0	2	3.0	Mon Apr 28 19:34:40 +0000 2008	Central Time (US & Canada)	Mon	15	Apr	28
24	38	38	38	38	38	10841872	2009	6450834415	The Frozen Throne ! Let 's play two Insanes ! 	1	2	2	0	1	0	2	2.6666666666666665	Tue Dec 08 02:27:16 +0000 2009	Central Time (US & Canada)	Mon	20	Dec	7
25	39	39	39	39	39	10841872	2010	9536520157	<USER> Why is he out of his mind ? 	4	2	0	0	0	0	1	1.3333333333333333	Tue Feb 23 18:17:30 +0000 2010	Central Time (US & Canada)	Tue	12	Feb	23
26	40	40	40	40	40	1155548167	2017	866963849085366272	these motherfuckers left my oil cap in dport  😂🙄😭 	2	3	1	0	0	0	2	1.8333333333333333	Tue May 23 10:27:43 +0000 2017	Central Time (US & Canada)	Tue	5	May	23
27	41	41	41	41	41	1155548167	2015	601160589407203328	IM HUNGRY AFFFFFF	6	0	0	0	0	0	1	1.0	Wed May 20 23:00:28 +0000 2015	Central Time (US & Canada)	Wed	18	May	20
28	46	46	46	46	46	1158955148	2017	928628464642650112	Any Mom that has tried to cut me off omw to my 9 : 30 can absolutely go fck themselves , Sheryl	0	3	2	0	1	0	2	2.833333333333333	Thu Nov 09 14:20:53 +0000 2017	Atlantic Time (Canada)	Thu	10	Nov	9
29	47	47	47	47	47	1158955148	2017	936090500783886337	u ever just like I CALLED it	5	0	0	0	0	1	1	1.0	Thu Nov 30 04:32:21 +0000 2017	Atlantic Time (Canada)	Thu	1	Nov	30
30	48	48	48	48	48	116037845	2014	480944506993250304	<USER> try wearing a finger brace on your middle fingers for 3 weeks from jamming them from a basketball  😫 	0	1	5	0	0	0	3	2.833333333333333	Mon Jun 23 05:24:40 +0000 2014	Eastern Time (US & Canada)	Mon	0	Jun	23
31	49	49	49	49	49	116037845	2015	589557260977745922	How I get ready for work : 2 minutes to change & 10 minutes to take out/change my piercings  😐💎 	0	1	3	1	1	0	3	3.333333333333333	Sat Apr 18 22:32:59 +0000 2015	Eastern Time (US & Canada)	Sat	18	Apr	18
32	50	50	50	50	50	1036685779	2016	738920827974909952	I checked in at Westfield North County on #Yelp <URL>	0	0	3	2	1	0	3	3.6666666666666665	Sat Jun 04 02:30:28 +0000 2016	Pacific Time (US & Canada)	Fri	20	Jun	3
33	51	51	51	51	51	1036685779	2015	644266258829959169	Why do people say they 're interested in whatever I'm selling AND commit , then bail out last minute ? What 's wrong with people ? ! #rudeaf	1	4	1	0	0	0	2	2.0	Wed Sep 16 21:47:00 +0000 2015	Pacific Time (US & Canada)	Wed	15	Sep	16
34	52	52	52	52	52	1037179669	2015	577904400846426112	The HEALTHY Shamrock Shake ! <URL>	0	1	4	1	0	0	3	3.0	Tue Mar 17 18:48:40 +0000 2015	Central Time (US & Canada)	Tue	14	Mar	17
35	53	53	53	53	53	1037179669	2015	557342547149082626	Anybody else 's kids eat a full supper yet they 're STARVING an hour later ? ! UGH ! #bottomlesspits	1	1	4	0	0	0	3	2.5	Tue Jan 20 01:03:12 +0000 2015	Central Time (US & Canada)	Mon	19	Jan	19
36	58	58	58	58	58	1043376614	2016	706669738911522817	Lady Mary loves Carson so much . She 's always been so sweet to him . #DowntonPBS #downtonfinale	0	0	2	2	2	0	3	4.0	Mon Mar 07 02:36:09 +0000 2016	Eastern Time (US & Canada)	Sun	22	Mar	6
37	59	59	59	59	59	1043376614	2016	735116633501519873	Wow Chelsea . That was a monster burp . #TeenMom2	0	1	3	1	1	0	3	3.333333333333333	Tue May 24 14:33:57 +0000 2016	Eastern Time (US & Canada)	Tue	10	May	24
38	60	60	60	60	60	1252944126	2015	646120412036890624	'<USER> : thought I just saw Ricky Dillon on the voice' same  😂 	0	0	4	1	1	0	3	3.5	Tue Sep 22 00:34:45 +0000 2015	Central Time (US & Canada)	Mon	20	Sep	21
39	61	61	61	61	61	1252944126	2017	835266027105759233	Thanks for the free pizza <USER>  🍕👌🏼 	0	5	1	0	0	0	2	2.1666666666666665	Fri Feb 24 23:11:54 +0000 2017	Central Time (US & Canada)	Fri	17	Feb	24
40	64	64	64	64	64	12545042	2009	1984620727	Nice one momma ! ~Renee	2	1	2	1	0	0	1	2.333333333333333	Sun May 31 22:28:13 +0000 2009	Central Time (US & Canada)	Sun	17	May	31
41	65	65	65	65	65	12545042	2010	13673513503	And on that note , I think I'm gonna wake up the mom in my house and get on the garden train and plant some roses ! : - ) ~Renee	0	1	3	1	1	0	3	3.333333333333333	Sun May 09 15:34:24 +0000 2010	Central Time (US & Canada)	Sun	11	May	9
42	66	66	66	66	66	125505919	2017	920480348680720384	Ryan Murphy 's revenge on Andy Warhol 's shooter should be tonights title lol . . . #AHSCult	0	0	2	2	2	0	3	4.0	Wed Oct 18 02:43:11 +0000 2017	Quito	Tue	22	Oct	17
43	67	67	67	67	67	125505919	2017	934867165169307649	<USER> I felt that November 9th of last year till Jan 20th this year . Then my fear turned to anger . I will no… <URL>	0	2	1	3	0	0	4	3.1666666666666665	Sun Nov 26 19:31:15 +0000 2017	Quito	Sun	15	Nov	26
44	72	72	72	72	72	12332182	2016	789156443551207428	<USER> pledges to accept election results 'if I win' . <URL>	1	3	1	0	0	0	2	2.0	Thu Oct 20 17:28:52 +0000 2016	Eastern Time (US & Canada)	Thu	12	Oct	20
45	73	73	73	73	73	12332182	2017	887289036099989504	<USER> Not . At . All . 	4	1	0	0	0	0	1	1.2	Tue Jul 18 12:32:45 +0000 2017	Eastern Time (US & Canada)	Tue	8	Jul	18
46	76	76	76	76	76	123395194	2011	23905417511829505	A hell of a run think he misses buffalo do n't think so That should do it barring a stupid no hands team by seahawks	0	0	2	0	1	2	3	3.6666666666666665	Sun Jan 09 00:54:30 +0000 2011	America/New_York	Sat	20	Jan	8
47	77	77	77	77	77	123395194	2012	164015001122766848	Trying to figure phone out <URL>	0	3	0	0	2	0	2	3.2	Mon Jan 30 15:59:58 +0000 2012	America/New_York	Mon	11	Jan	30
48	78	78	78	78	78	123915091	2017	844466661352726529	This child needs a stable and loving home . Please join me in signing this petition for my good friends . They have . . . <URL>	0	1	0	2	2	0	4	4.0	Wed Mar 22 08:31:56 +0000 2017	Pacific Time (US & Canada)	Wed	2	Mar	22
49	79	79	79	79	79	123915091	2013	402127577910743040	<USER> <USER> <USER> <USER> <USER> WOW ! Some1 help me out of the woods . I did n't know U were N a band	1	2	1	0	1	0	2	2.6	Sun Nov 17 17:34:20 +0000 2013	Pacific Time (US & Canada)	Sun	10	Nov	17
50	80	80	80	80	80	1012696602	2016	805270665305714689	Tasha has released another installment of her amazing birthstone series , this one that is now available is Blue . . . <URL>	0	0	0	1	5	0	5	4.833333333333333	Sun Dec 04 04:41:02 +0000 2016	Pacific Time (US & Canada)	Sat	21	Dec	3
51	81	81	81	81	81	1012696602	2015	673469888430665728	Retiring Kits : I Have Decided To Retire Some kitsThese Kits Are Now Free For Personal Use Download HE . . . <URL>	0	1	3	0	2	0	3	3.5	Sun Dec 06 11:51:48 +0000 2015	Pacific Time (US & Canada)	Sun	4	Dec	6
52	82	82	82	82	82	1016399695	2017	851276509020962818	Track may be coming out tomorrow . . . . Sorry ! 	0	0	3	1	2	0	3	3.8333333333333335	Mon Apr 10 03:31:50 +0000 2017	Eastern Time (US & Canada)	Sun	23	Apr	9
53	83	83	83	83	83	1016399695	2017	917082383731609600	I used to just see <USER> as a fun , unique , awesome OST type game . But recently , it 's been touching my life more than ever , along with . . 	0	2	1	2	1	0	2	3.333333333333333	Sun Oct 08 17:40:53 +0000 2017	Eastern Time (US & Canada)	Sun	13	Oct	8
54	84	84	84	84	84	1016513190	2015	598222700880928768	MY PACKAGE WAS SUPPOSED TO BE HERE ON THE 1ST & NOW ITS THE 12TH & I STILL HAVENT RECEIVED MY SHIT	0	1	1	3	1	0	4	3.6666666666666665	Tue May 12 20:26:20 +0000 2015	Arizona	Tue	13	May	12
55	85	85	85	85	85	1016513190	2015	608892754307907584	I always think people care about me but they never really do . I'm kind of just someone to talk to I guess . . Lol whatever	4	2	0	0	0	0	1	1.3333333333333333	Thu Jun 11 07:05:19 +0000 2015	Arizona	Thu	0	Jun	11
56	88	88	88	88	88	124236002	2017	899084404097777666	<USER> I love your comments ! Support is fine . We vote for you to act tweet what you are doing to combat fears	0	3	2	0	0	0	2	2.4	Sun Aug 20 01:43:20 +0000 2017	Atlantic Time (Canada)	Sat	22	Aug	19
