term,category,weight,Norm_Weight
hate,PRESENT_OR_NOT,0.178097841,0.085447941
all the,PRESENT_OR_NOT,0.011157955,-0.081491945
every,PRESENT_OR_NOT,-0.250429408,-0.343079308
school,PRESENT_OR_NOT,-0.086029072,-0.178678972
. lmao,PRESENT_OR_NOT,-0.007638815,-0.100288715
me out,PRESENT_OR_NOT,0.064936275,-0.027713625
tired,PRESENT_OR_NOT,0.123453378,0.030803478
am .,PRESENT_OR_NOT,-0.039228662,-0.131878562
new,PRESENT_OR_NOT,-0.015576899,-0.108226799
never,PRESENT_OR_NOT,0.015228911,-0.077420989
here,PRESENT_OR_NOT,-0.024778484,-0.117428384
i'm,PRESENT_OR_NOT,0.068983868,-0.023666031
<3,PRESENT_OR_NOT,0.022048989,-0.070600911
me,PRESENT_OR_NOT,-0.075711911,-0.168361811
my,PRESENT_OR_NOT,-0.04924462,-0.141894519
want,PRESENT_OR_NOT,0.077459662,-0.015190238
happy birthday,PRESENT_OR_NOT,0.044090591,-0.048559309
how,PRESENT_OR_NOT,0.027923009,-0.064726891
have to,PRESENT_OR_NOT,0.142470923,0.049821023
after,PRESENT_OR_NOT,-0.391894215,-0.484544115
before,PRESENT_OR_NOT,-0.138458606,-0.231108505
",",PRESENT_OR_NOT,0.035380101,-0.057269799
then,PRESENT_OR_NOT,-0.258566687,-0.351216586
them,PRESENT_OR_NOT,0.014354301,-0.078295599
break,PRESENT_OR_NOT,-0.34342036,-0.436070259
they,PRESENT_OR_NOT,-0.007530965,-0.100180865
went,PRESENT_OR_NOT,-0.065836893,-0.158486792
rt,PRESENT_OR_NOT,0.29495164,0.202301741
have a,PRESENT_OR_NOT,0.281082122,0.188432222
got,PRESENT_OR_NOT,-0.292360145,-0.385010045
days,PRESENT_OR_NOT,-0.528585058,-0.621234958
girls,PRESENT_OR_NOT,0.051548598,-0.041101301
took,PRESENT_OR_NOT,-0.24193131,-0.33458121
a little,PRESENT_OR_NOT,0.060408556,-0.032241344
matter,PRESENT_OR_NOT,0.020105052,-0.072544848
feeling,PRESENT_OR_NOT,0.043077811,-0.049572089
spent,PRESENT_OR_NOT,-0.120936206,-0.213586106
seen,PRESENT_OR_NOT,-0.22397149,-0.31662139
! i,PRESENT_OR_NOT,-0.061349668,-0.153999568
-,PRESENT_OR_NOT,0.020128992,-0.072520907
i don't,PRESENT_OR_NOT,0.068214103,-0.024435797
". """,PRESENT_OR_NOT,-0.025514582,-0.118164481
! !,PRESENT_OR_NOT,0.074367521,-0.018282379
had to,PRESENT_OR_NOT,-0.133745231,-0.226395131
has a,PRESENT_OR_NOT,0.094795992,0.002146093
came,PRESENT_OR_NOT,-0.221095047,-0.313744947
it .,PRESENT_OR_NOT,0.02856795,-0.06408195
! http://t.co,PRESENT_OR_NOT,-0.206197418,-0.298847317
about,PRESENT_OR_NOT,-0.004197721,-0.096847621
10,PRESENT_OR_NOT,-0.053880237,-0.146530137
da,PRESENT_OR_NOT,0.156776374,0.064126474
said,PRESENT_OR_NOT,-0.163452118,-0.256102017
there's,PRESENT_OR_NOT,0.075389637,-0.017260262
bout to,PRESENT_OR_NOT,-0.103851162,-0.196501061
wtf,PRESENT_OR_NOT,-0.102741656,-0.195391556
been,PRESENT_OR_NOT,-0.274665493,-0.367315393
life,PRESENT_OR_NOT,0.156611556,0.063961657
has,PRESENT_OR_NOT,0.020361728,-0.072288172
is,PRESENT_OR_NOT,0.276979743,0.184329843
im,PRESENT_OR_NOT,0.015013963,-0.077635936
in,PRESENT_OR_NOT,-0.107269345,-0.199919245
s / o,PRESENT_OR_NOT,0.037398826,-0.055251073
the,PRESENT_OR_NOT,-0.081115911,-0.173765811
left,PRESENT_OR_NOT,-0.207363345,-0.300013244
just,PRESENT_OR_NOT,-0.148012255,-0.240662155
thanks,PRESENT_OR_NOT,-0.010039268,-0.102689168
yes,PRESENT_OR_NOT,-0.013101392,-0.105751292
had,PRESENT_OR_NOT,-0.343306513,-0.435956413
on .,PRESENT_OR_NOT,0.002992866,-0.089657033
at my,PRESENT_OR_NOT,0.001303575,-0.091346325
gave,PRESENT_OR_NOT,-0.240379471,-0.333029371
is a,PRESENT_OR_NOT,0.1251973,0.032547401
night,PRESENT_OR_NOT,-0.509647577,-0.602297477
i had,PRESENT_OR_NOT,0.224799494,0.132149594
right,PRESENT_OR_NOT,0.054189042,-0.038460858
deal,PRESENT_OR_NOT,-0.049921426,-0.142571326
for,PRESENT_OR_NOT,-0.13470961,-0.22735951
get on,PRESENT_OR_NOT,-0.02597696,-0.11862686
everything,PRESENT_OR_NOT,0.010382737,-0.082267163
o,PRESENT_OR_NOT,0.002848916,-0.089800984
i am,PRESENT_OR_NOT,0.047846808,-0.044803092
two,PRESENT_OR_NOT,-0.137518435,-0.230168334
down,PRESENT_OR_NOT,-0.021012105,-0.113662005
music,PRESENT_OR_NOT,0.263977595,0.171327696
was,PRESENT_OR_NOT,-0.637257432,-0.729907331
happy,PRESENT_OR_NOT,0.337363404,0.244713504
head,PRESENT_OR_NOT,-0.038499382,-0.131149282
tell,PRESENT_OR_NOT,-0.116727661,-0.209377561
later,PRESENT_OR_NOT,-0.138347003,-0.230996903
it was,PRESENT_OR_NOT,-0.295015278,-0.387665178
"though ,",PRESENT_OR_NOT,0.309396353,0.216746453
no,PRESENT_OR_NOT,0.111149402,0.018499502
test,PRESENT_OR_NOT,-0.206663274,-0.299313174
weekend,PRESENT_OR_NOT,-0.481000478,-0.573650377
time,PRESENT_OR_NOT,-0.049838873,-0.142488772
:(,PRESENT_OR_NOT,-0.00157198,-0.09422188
:),PRESENT_OR_NOT,-0.075936859,-0.168586758
. i'm,PRESENT_OR_NOT,-0.031043189,-0.123693089
/,PRESENT_OR_NOT,0.01784147,-0.07480843
finally,PRESENT_OR_NOT,-0.50455517,-0.59720507
text,PRESENT_OR_NOT,-0.024933161,-0.117583061
i can't,PRESENT_OR_NOT,0.050693711,-0.041956189
did,PRESENT_OR_NOT,-0.316008057,-0.408657957
soooo,PRESENT_OR_NOT,-0.108582829,-0.201232729
says,PRESENT_OR_NOT,-0.063268905,-0.155918804
waiting for,PRESENT_OR_NOT,0.593609994,0.500960094
wait,PRESENT_OR_NOT,-0.479448303,-0.572098203
so much,PRESENT_OR_NOT,-0.173898305,-0.266548205
love,PRESENT_OR_NOT,0.154799988,0.062150088
today,PRESENT_OR_NOT,-0.240579033,-0.333228933
car,PRESENT_OR_NOT,-0.053890548,-0.146540447
can,PRESENT_OR_NOT,-0.008574103,-0.101224003
fuck,PRESENT_OR_NOT,0.011778874,-0.080871026
heard,PRESENT_OR_NOT,-0.214602553,-0.307252452
watching,PRESENT_OR_NOT,0.081166092,-0.011483808
1,PRESENT_OR_NOT,-0.104374144,-0.197024044
till,PRESENT_OR_NOT,-0.104458764,-0.197108663
sunday,PRESENT_OR_NOT,-0.439177605,-0.531827504
guys,PRESENT_OR_NOT,0.096403903,0.003754003
grow,PRESENT_OR_NOT,0.027503822,-0.065146077
all my,PRESENT_OR_NOT,-0.083874807,-0.176524707
cold,PRESENT_OR_NOT,0.177659696,0.085009797
still,PRESENT_OR_NOT,0.150958005,0.058308105
.... but,PRESENT_OR_NOT,0.070568188,-0.022081712
thank,PRESENT_OR_NOT,-0.16738358,-0.26003348
the world,PRESENT_OR_NOT,0.014427226,-0.078222674
3,PRESENT_OR_NOT,-0.275467506,-0.368117406
not,PRESENT_OR_NOT,-0.032871665,-0.125521565
now,PRESENT_OR_NOT,0.058576155,-0.034073745
day !,PRESENT_OR_NOT,0.238390674,0.145740774
year,PRESENT_OR_NOT,-0.207992184,-0.300642083
care,PRESENT_OR_NOT,0.080785881,-0.011864018
